image_id,image_height,image_width,object_id,class,xmin,ymin,xmax,ymax
5301073148,1936,2592,0,qr_code,562,1034,880,1336
4821931054,1024,681,1,qr_code,487,711,579,816
4021470349,999,669,2,qr_code,291,561,442,710
3346775330,732,1024,3,qr_code,22,661,82,722
3756525934,1200,1600,4,qr_code,477,595,592,752
3424245467,1360,2048,5,qr_code,1230,647,1706,1117
5164857092,576,1024,6,qr_code,52,263,83,304
3552874141,425,640,7,qr_code,29,78,264,312
4071142993,685,1024,8,qr_code,198,446,257,504
4328183928,2592,1944,9,qr_code,834,1188,1129,1474
2198403406,1360,2048,10,qr_code,1137,660,1380,883
4043359287,2048,1536,11,qr_code,642,543,936,853
4890939944,2048,3648,12,qr_code,818,416,1499,1085
3989206756,1024,768,13,qr_code,154,524,200,568
5020909946,1936,2592,14,qr_code,1707,530,2234,1051
3360040540,768,1024,15,qr_code,99,128,323,358
4747076605,3456,5184,16,qr_code,2389,1736,2936,2317
2928308769,768,1024,17,qr_code,446,168,663,385
2973699715,240,400,18,qr_code,324,24,355,57
3989685099,768,1024,19,qr_code,835,527,884,578
4688840372,1936,2576,20,qr_code,178,183,1022,794
4791733019,1024,768,21,qr_code,393,871,460,931
3002670645,1536,2048,22,qr_code,737,552,1089,904
5149194708,1024,1024,23,qr_code,575,491,788,704
0425608272,1280,960,24,qr_code,345,600,569,762
5326668891,1024,768,25,qr_code,525,639,590,711
5266587566,730,547,26,qr_code,146,535,173,562
5330422656,768,1024,27,qr_code,645,300,840,488
3950836668,768,1024,28,qr_code,656,325,695,392
4160076127,1024,768,29,qr_code,120,132,567,578
3413053542,2848,4272,30,qr_code,749,1078,1934,2317
4298012464,768,1024,31,qr_code,204,254,302,367
5011786146,4000,3000,32,qr_code,1628,1493,1907,1772
0530514402,600,800,33,qr_code,131,157,469,507
4941559651,698,1024,34,qr_code,362,405,446,459
3831773252,2592,3888,35,qr_code,902,1355,1330,1778
4142786699,3040,2280,36,qr_code,593,614,1649,1652
4910219202,1360,2048,37,qr_code,1701,479,1947,757
4247266998,1024,685,38,qr_code,218,376,514,598
4690553670,1536,2048,39,qr_code,1566,371,1822,681
2261064777,640,384,40,qr_code,283,490,347,548
5142874923,768,1024,41,qr_code,686,499,709,527
1125952233,1360,2048,42,qr_code,787,617,1019,847
5296790826,768,1024,43,qr_code,125,231,484,589
2645558160,3000,4000,44,qr_code,1808,819,2459,1481
2611750549,2048,1536,45,qr_code,617,651,1153,1185
1840578464,480,640,46,qr_code,111,94,418,407
2964565796,3264,2448,47,qr_code,983,1116,1674,1975
2854521482,2592,1944,48,qr_code,1150,1310,1439,1584
0459198815,960,1280,49,qr_code,570,442,778,664
4195660045,1936,2592,50,qr_code,974,688,1218,926
4441756800,1944,2592,51,qr_code,1712,808,1982,1093
2423615959,480,640,52,qr_code,172,99,323,219
4777193629,1360,2048,53,qr_code,1759,1065,1923,1230
2238679342,2136,2848,54,qr_code,2253,1525,2623,1903
3361211971,679,1024,55,qr_code,543,195,712,368
5265161086,640,480,56,qr_code,135,110,394,373
5121116199,768,1024,57,qr_code,294,233,377,315
3352436654,2592,3888,58,qr_code,746,1111,2130,2366
3863034429,768,1024,59,qr_code,228,185,686,626
5053297805,640,480,60,qr_code,236,424,345,540
4022161260,2560,1712,61,qr_code,807,1322,944,1457
4296324830,2304,3072,62,qr_code,801,406,2200,1807
4917222006,1360,2048,63,qr_code,1431,222,1936,709
3440561175,379,500,64,qr_code,14,14,265,263
5082957881,1125,1500,65,qr_code,738,442,1135,743
5326665675,1024,768,66,qr_code,294,538,437,679
3412284039,2848,4272,67,qr_code,2633,1144,2972,1549
5082797987,1568,2100,68,qr_code,766,410,1448,894
0425606995,960,1280,69,qr_code,688,308,895,563
3905670538,1196,1800,70,qr_code,500,231,1194,923
4693287145,3000,3648,71,qr_code,2512,571,2846,771
4850831714,2736,3648,72,qr_code,759,638,2586,2375
0071851287,1440,2560,73,qr_code,286,790,846,1350
3413097256,2848,4272,74,qr_code,1053,759,1774,1753
5327275422,1024,768,75,qr_code,525,746,679,902
2686136338,768,1024,76,qr_code,156,451,301,600
2590705769,2304,3456,77,qr_code,1933,618,3105,1779
5323783003,1024,576,78,qr_code,205,396,336,527
4000337376,2304,3456,79,qr_code,1040,643,2134,1708
4243670985,425,640,80,qr_code,159,186,177,223
4566396474,685,1024,81,qr_code,313,364,440,503
3875393950,800,600,82,qr_code,193,200,455,464
4099642526,2448,3264,83,qr_code,2077,1811,2618,2344
4956470281,878,1024,84,qr_code,21,593,104,675
5318432696,675,900,85,qr_code,206,230,542,502
5046378711,5061,3374,86,qr_code,2741,2625,2898,2830
2413404095,861,570,87,qr_code,136,547,445,834
4880150149,1936,2592,88,qr_code,1056,947,1340,1233
4738989687,1936,2592,89,qr_code,355,1178,751,1517
0475956541,1200,1600,90,qr_code,489,317,1130,974
4528956445,1936,2592,91,qr_code,1011,113,1285,393
4525996985,768,1024,92,qr_code,238,330,483,514
5182903578,612,612,93,qr_code,203,298,410,501
2566618981,1024,768,94,qr_code,390,577,532,719
2967445634,3072,2304,95,qr_code,608,1102,1186,1690
5046634041,686,1024,96,qr_code,162,382,323,536
3219209795,480,640,97,qr_code,271,97,407,277
3210084213,2376,4224,98,qr_code,3027,1152,3633,1742
2953726003,2304,3072,99,qr_code,1202,480,2374,1594
3360044712,1024,768,100,qr_code,153,528,291,680
4723176644,768,1024,101,qr_code,191,239,443,487
4353596623,410,640,102,qr_code,37,125,609,295
4952852960,997,1024,103,qr_code,154,785,284,915
2822148224,640,500,104,qr_code,103,221,229,294
2595337520,480,640,105,qr_code,150,188,223,264
5289608618,2666,2976,106,qr_code,1418,1490,1593,1662
4566380516,476,640,107,qr_code,460,53,572,172
4397684539,683,1024,108,qr_code,283,73,405,196
4222589347,1536,2048,109,qr_code,1150,960,1382,1198
5137889651,612,612,110,qr_code,221,137,383,277
3314092400,2376,4224,111,qr_code,268,1601,681,2027
5276808199,1024,765,112,qr_code,280,381,482,581
0336906244,600,800,113,qr_code,150,208,357,422
4222508753,1200,1600,114,qr_code,744,367,1156,798
5023713525,1200,1600,115,qr_code,597,66,1010,485
2860081481,2304,3072,116,qr_code,1500,766,1991,1262
5117983633,685,1024,117,qr_code,717,418,770,468
5223295536,364,648,118,qr_code,368,50,464,146
4541365690,1067,800,119,qr_code,461,577,519,642
3623972224,768,1024,120,qr_code,508,405,578,472
4957192824,598,800,121,qr_code,108,442,152,484
